time=2023-12-30T12:16:41.418+01:00 level=INFO msg="Duration exceeds length of the metric file"
time=2023-12-30T12:18:10.996+01:00 level=INFO msg="flag provided but not defined: -gap"
time=2023-12-30T12:19:37.536+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:19:31 +0100 CET"
time=2023-12-30T12:20:01.528+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:20:01 +0100 CET"
time=2023-12-30T12:20:01.854+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:20:31 +0100 CET"
time=2023-12-30T12:20:02.178+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:21:01 +0100 CET"
time=2023-12-30T12:20:02.489+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:21:31 +0100 CET"
time=2023-12-30T12:20:02.800+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:22:01 +0100 CET"
time=2023-12-30T12:20:03.114+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:22:31 +0100 CET"
time=2023-12-30T12:20:03.435+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:23:01 +0100 CET"
time=2023-12-30T12:20:03.748+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:23:31 +0100 CET"
time=2023-12-30T12:20:04.074+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:24:01 +0100 CET"
time=2023-12-30T12:20:04.395+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:24:31 +0100 CET"
time=2023-12-30T12:20:04.706+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:25:01 +0100 CET"
time=2023-12-30T12:20:05.018+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:25:31 +0100 CET"
time=2023-12-30T12:20:05.332+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:26:01 +0100 CET"
time=2023-12-30T12:20:05.653+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:26:31 +0100 CET"
time=2023-12-30T12:20:05.966+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:27:01 +0100 CET"
time=2023-12-30T12:20:06.277+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:27:31 +0100 CET"
time=2023-12-30T12:20:06.600+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:28:01 +0100 CET"
time=2023-12-30T12:20:06.913+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:28:31 +0100 CET"
time=2023-12-30T12:20:07.237+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:29:01 +0100 CET"
time=2023-12-30T12:20:07.546+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:29:31 +0100 CET"
time=2023-12-30T12:20:07.860+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:30:01 +0100 CET"
time=2023-12-30T12:20:08.186+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:30:31 +0100 CET"
time=2023-12-30T12:20:08.507+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:31:01 +0100 CET"
time=2023-12-30T12:20:08.821+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:31:31 +0100 CET"
time=2023-12-30T12:20:09.144+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:32:01 +0100 CET"
time=2023-12-30T12:20:09.467+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:32:31 +0100 CET"
time=2023-12-30T12:20:09.790+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:33:01 +0100 CET"
time=2023-12-30T12:20:10.098+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:33:31 +0100 CET"
time=2023-12-30T12:20:10.409+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:34:01 +0100 CET"
time=2023-12-30T12:20:10.720+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:34:31 +0100 CET"
time=2023-12-30T12:20:11.025+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:35:01 +0100 CET"
time=2023-12-30T12:20:11.334+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:35:31 +0100 CET"
time=2023-12-30T12:20:11.644+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:36:01 +0100 CET"
time=2023-12-30T12:20:11.963+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:36:31 +0100 CET"
time=2023-12-30T12:20:12.287+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:37:01 +0100 CET"
time=2023-12-30T12:20:12.607+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:37:31 +0100 CET"
time=2023-12-30T12:20:12.918+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:38:01 +0100 CET"
time=2023-12-30T12:20:13.232+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:38:31 +0100 CET"
time=2023-12-30T12:20:13.555+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:39:01 +0100 CET"
time=2023-12-30T12:20:13.866+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:39:31 +0100 CET"
time=2023-12-30T12:20:14.173+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:40:01 +0100 CET"
time=2023-12-30T12:20:14.490+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:40:31 +0100 CET"
time=2023-12-30T12:20:14.802+01:00 level=INFO msg="Inserted metric at 2023-12-20 12:41:01 +0100 CET"
